realDate,textDate,Island,Branches,Classes_scheduled,Registered,Attended,Attend_Rate,Peronnel,Profeional/Contractual,Travel,Marketing and Outreach,Indirect,Hardware,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2025,Jan-25,Oahu,7,23,234,131,56,19897.4,19116.67,4800,2037.07,289.52,0,46140.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2025,Jan-25,Maui,4,15,69,43,62,19897.4,19116.67,4800,2037.07,289.52,0,46140.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2025,Jan-25,Hawaii,4,15,75,44,59,19897.4,19116.67,4800,2037.07,289.52,0,46140.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2025,Jan-25,Kauai,3,11,69,58,84,19897.4,19116.67,4800,2037.07,289.52,0,46140.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2025,Jan-25,Lana,0,0,0,0,0,19897.4,19116.67,4800,2037.07,289.52,0,46140.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2025,Jan-25,Molokai,0,0,0,0,0,19897.4,19116.67,4800,2037.07,289.52,0,46140.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2025,Jan-25,Total,18,64,447,276,62,19897.4,19116.67,4800,2037.07,289.52,0,46140.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2025,Feb-25,Oahu,12,37,315,187,60,19897.4,21716.67,4800,226.79,467.6,0,47108.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2025,Feb-25,Maui,2,5,37,29,78,19897.4,21716.67,4800,226.79,467.6,0,47108.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2025,Feb-25,Hawaii,7,22,160,97,61,19897.4,21716.67,4800,226.79,467.6,0,47108.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2025,Feb-25,Kauai,3,7,68,28,41,19897.4,21716.67,4800,226.79,467.6,0,47108.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2025,Feb-25,Lana,1,3,25,12,48,19897.4,21716.67,4800,226.79,467.6,0,47108.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2025,Feb-25,Molokai,1,3,48,25,52,19897.4,21716.67,4800,226.79,467.6,0,47108.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2025,Feb-25,Total,26,77,653,379,58,19897.4,21716.67,4800,226.79,467.6,0,47108.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2025,Mar-25,Oahu,9,26,128,85,66,19897.4,24766.67,4000,2398.53,477.7,0,51540.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2025,Mar-25,Maui,2,8,41,35,85,19897.4,24766.67,4000,2398.53,477.7,0,51540.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2025,Mar-25,Hawaii,7,18,94,53,56,19897.4,24766.67,4000,2398.53,477.7,0,51540.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2025,Mar-25,Kauai,3,8,37,31,84,19897.4,24766.67,4000,2398.53,477.7,0,51540.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2025,Mar-25,Lana,1,1,9,6,67,19897.4,24766.67,4000,2398.53,477.7,0,51540.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
