_id,Geographic Area Served,Asset Name,Type of Entity,Digital Equity Pillars,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,Description of Services,Website,Street Address
1,Hawaii,All About Behavior,Business,Online Accessibility and Inclusivity; Digital Literacy; Device Availability and Affordability,x,,,,1,x,x,x,x,Provides Applied Behavior Analysis (ABA) services to autistic children ranging from the ages of 2 through 16.,https://allaboutbehaviorhi.com/,"203 Kapaa Quarry Pl. #5002 Kailua, HI 96734"
2,Hawaii,Connections PCS,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Hilo-Waiakea complex area.,https://www.connectionscharterschool.org/,"174 Kamehameha Avenue, Hilo, HI 96720"
3,Hawaii,DeSilva Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Hilo-Waiakea complex area.,https://www.ebdesilva.org/,"278 Ainako Avenue, Hilo, HI 96720"
4,Hawaii,Haaheo Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Hilo-Waiakea complex area.,https://www.haaheo.org/,"121 Haaheo Road, Hilo, HI 96720"
5,Hawaii,Hawai`i Academy of Arts and Science PCS,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kau-Keaau-Pahoa complex area.,https://sites.google.com/haaspcs.net/hawaiiacademyofartsandscience/home,"15-1397 Homestead Road, Pahoa, HI 96778"
6,Hawaii,Hilo High,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Hilo-Waiakea complex area.,https://www.hilohs.k12.hi.us/,"556 Waianuenue Avenue, Hilo, HI 96720"
7,Hawaii,Hilo Intermediate,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Hilo-Waiakea complex area.,https://www.hilointermediate.com/,"587 Waianuenue Avenue, Hilo, HI 96720"
8,Hawaii,Hilo Public Library,Public Library,Broadband Availability; Device Availability; Digital Literacy,1,1,1,1,1,1,1,1,1,"One of the 51 branches of the Hawaii State Public Library System.
Offers connectivity to devices and the internet and opportunities
for the digital literacy skills they need to be successful.",https://www.librarieshawaii.org/,"300 Waianuenue Ave, Hilo, HI 96720, United States"
9,Hawaii,Hilo Union Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Hilo-Waiakea complex area.,https://www.hilounionschool.org/,"506 Waianuenue Avenue, Hilo, HI 96720"
10,Hawaii,Holualoa Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Honokaa-Kealakehe-Kohala-Konawaena complex area.,https://holualoahawks.org/,"76-5957 Mamalahoa Highway, Holualoa, HI 96725"
